,question,answer,query_duration,answer_present,average_precision
67,how long will it take voyager to pass through the oort cloud,"about 30,000 years",13,1,1.0
68,an idiopathic condition associated with asprin treatment during certain viral infections,Reye syndrome,9,0,0.0
69,what is the difference between devil's food and chocolate,traditionally has more chocolate than a regular chocolate cake,9,0,0.0
70,who is mariah carey talking about in we belong together,her 1993 marriage to Tommy Mottola,6,1,1.0
71,where is the original statue of david in italy,Florence 's Galleria dell'Accademia,13,0,0.0
72,when did the teton dam break in idaho,"June 5 , 1976",6,1,1.0
73,when was the movie stand by me made,1986,5,1,1.0
74,is the eiffel tower made of steel or iron,wrought iron,10,1,1.0
75,what is the name of the youth loved by salmacis,Hermaphroditus,4,1,1.0
76,what film has the song don't you forget about me,The Breakfast Club,11,1,1.0
77,when was the last time mount saint helens exploded,"May 18 , 1980",9,1,1.0
78,how many 7 elevens are in the world,"66,579",8,1,1.0
79,when do booth and brennan become a couple,At the start of Season 7,6,1,0.5
80,who sang nice one cyril nice one son,Cockerel Chorus,6,1,1.0
81,who sang red red wine in the 80's,Neil Diamond,8,1,1.0
82,who wrote the christmas carol do you hear what i hear,Gloria Shayne Baker,9,1,1.0
83,who wrote the christmas carol do you hear what i hear,Noël Regney,17,1,1.0
84,who plays olivia benson on law and order,Mariska Magdolna Hargitay,6,0,0.0
85,how many copies did fifty shades of grey sell,over 125 million copies,5,1,1.0
86,when was the city of green bay founded,1634,5,1,1.0
87,where do the ilium the ischium and the pubis meet,acetabulum,3,1,1.0
88,who is the founder of pak n save,Foodstuffs,4,1,1.0
89,how many species of plants are found in india,"more than 50,000",11,0,0.0
90,which non-british company owns both the famous british rolls- royce and mini brands,BMW,10,1,0.5
91,how many times have the dodgers gone to world series,19,8,1,1.0
92,at what level is the clavicle with reference to the ribs,directly above the first rib,4,1,0.8333333333333333
93,when was the writ of habeas corpus created,1679,9,1,1.0
94,where are they playing the john deere classic golf tournament,"TPC Deere Run in the Quad Cities community of Silvis , Illinois",7,1,1.0
95,what types of elements are involved in covalent bonding,atoms,4,1,1.0
96,what types of elements are involved in covalent bonding,electron,4,1,1.0
97,name the highest bridge in the world built by indian army,Baily Bridge,19,1,1.0
98,who wrote an article on war finance titled how to pay for the war,John Maynard Keynes,21,0,0.0
99,where did the cavs play before the gund arena,the Richfield Coliseum,15,1,1.0
100,who won the arms race in the cold war,The United States,9,1,1.0
101,what is the proper term used for the signature given by celebrities to their fans,Autograph,14,1,1.0
102,who owns willy wonka and the chocolate factory,Warner Bros.,9,1,1.0
103,who directed sign of the times music video,Woodkid,10,1,0.5
104,who plays jon snow in game of thrones,Christopher Catesby `` Kit '' Harington,6,0,0.0
105,which term is defined as the chance that a given event will occur,Probability,11,0,0.0
106,when did guardians of the galaxy comic book come out,Jan. 1969,6,1,0.5
107,where is sea level measured in the uk,Newlyn in Cornwall between 1915 and 1921,10,1,1.0
108,80's movie about a kid in a spaceship,Flight of the Navigator,10,0,0.0
109,what are the basic components of a nucleotide,"a nitrogenous base , a five - carbon sugar ( ribose or deoxyribose ) , and at least one phosphate group",3,1,1.0
110,where is the due process clause found in the constitution,The Fifth and Fourteenth Amendments,9,1,1.0
111,who plays the stunt man in the geico commercial,Blake Gibbons,5,0,0.0
112,why is the british parliament known as the mother of parliaments,because of the adoption of the Westminster model of parliamentary democracy by many countries of the former British Empire,5,1,1.0
113,what was the official religion of the soviet union,atheism,10,1,1.0
114,who wrote crazy little thing called love original artist,Freddie Mercury,9,1,1.0
115,who is the actor that plays the good dr,Freddie Highmore,12,0,0.0
116,the resourced based view of the firm (rbv school) is,an economic tool used to determine the strategic resources available to a firm,7,1,0.5
117,the myelin sheath that covers many cns axons is formed by,the concentric wrapping of an oligodendrocyte or Schwann cell process around the axon,10,1,1.0
118,who does frank kill in the wasp factory,three of his relatives : two cousins and his younger brother,7,1,1.0
119,where does the movie gone with the wind take place,the American South,13,1,1.0
120,when did the nba institute the 3 point shot,1979 -- 80 season,9,0,0.0
121,who is the captain of chennai super king,Mahendra Singh Dhoni,3,1,1.0
122,who wrote see you again by miley cyrus,Antonina,9,1,1.0
123,who wrote see you again by miley cyrus,Miley Cyrus,8,1,1.0
124,who wrote see you again by miley cyrus,Antonina Armato,12,1,1.0
125,where is the super bowl being played at this year,"U.S. Bank Stadium in Minneapolis , Minnesota",6,0,0.0
126,where was the newhart show filmed in vermont,The Waybury Inn,7,0,0.0
127,who's line is it anyway original cast,Drew Carey,4,1,0.5833333333333333
128,who's line is it anyway original cast,Colin Mochrie,4,1,0.5833333333333333
129,who's line is it anyway original cast,Ryan Stiles,4,1,0.5833333333333333
130,who's line is it anyway original cast,Wayne Brady,13,1,0.5833333333333333
131,how many employees does department of education have,"approximately 4,400",18,1,1.0
132,when did the first beanie baby come out,1993,18,1,0.8333333333333333
133,how much money does argentina make from tourism,over US $22 billion,18,1,1.0
134,where is the macy's thanksgiving day parade held,Manhattan,6,1,1.0
135,what religious groups lived in the new england colonies,Puritans,6,1,1.0
136,where do long-chain fatty acids first enter the bloodstream,"Blood lipids ( or blood fats ) are lipids in the blood , either free or bound to other molecules . They are mostly transported in a protein capsule , and the density of the lipids and type of protein determines the fate of the particle and its influence on metabolism . The concentration of blood lipids depends on intake and excretion from the intestine , and uptake and secretion from cells . Blood lipids are mainly fatty acids and cholesterol . Hyperlipidemia is the presence of elevated or abnormal levels of lipids and / or lipoproteins in the blood , and is a major risk factor for cardiovascular disease .",12,0,0.0
137,where is the retina located in the eye,"innermost , light - sensitive layer , or `` coat '' , of shell tissue of the eye",5,1,1.0
138,who did the voice for elsa in frozen,Spencer Lacey Ganus,5,1,1.0
139,who did the voice for elsa in frozen,Eva Bella,6,1,1.0
140,what episode in season 3 do jim and pam get together,"the season finale , `` The Job , ''",8,1,1.0
141,when does god of war come out for pc,"April 20 , 2018",8,0,0.0
142,how do you pass an amendment to the constitution,must be ratified by either -- as determined by Congress -- the legislatures of three - quarters of the states or state ratifying conventions in three - quarters of the states,6,0,0.0
143,when did croatia finish 3rd in the world cup,1998,24,1,1.0
144,nominated in the best foreign film category at the oscars mother india lost to,Nights of Cabiria,17,1,1.0
145,who played edward 40 hands how i met your mother,Pete Durkensen,13,0,0.0
146,who played edward 40 hands how i met your mother,Marshall,18,1,1.0
147,where does esperanza live in the house on mango street,Chicago,14,1,1.0
148,who is making everyone sick in minor details,Mia,15,1,0.8333333333333333
149,at the bottom of the hierarchy of needs is,Physiological needs,11,1,1.0
150,the greatest range between consecutive high and low tides occurs at which lunar phase,( full moon ) .,8,0,0.0
151,when did if you don't know me by now come out,in 1972,10,0,0.0
152,where does the calvin cycle (dark reactions) take place,in the stroma,7,1,1.0
153,what engine does call of duty run on,The IW engine,6,1,1.0
154,what is the point of the jury in australian survivor,"cast their vote for which finalist should be awarded the title of `` Sole Australian Survivor '' and the grand prize of A $ 500,000",4,1,1.0
155,when did the angels became the los angeles angels,1961,10,1,1.0
156,where is the guy who plays calvin on 227,Curtis Baldwin,5,1,1.0
157,who is the kid who played the banjo in deliverance,Billy Redden,4,1,0.5
158,who wrote what the hell did i say,country music artist Dierks Bentley,11,1,1.0
159,what is the song bad about by u2,heroin addiction,6,1,1.0
160,who is danae in the story of gorgon's head,mother of the hero Perseus by Zeus,6,0,0.0
161,who designed the sundial bridge in redding ca,Puente del Alamillo in Seville,7,1,1.0
162,what was the purpose of the national resources planning board,"to advise the President , in times of war , on how to mobilize natural resources , manpower , and the scientific establishment to meet the demands of the Department of Defense",6,1,1.0
163,when did the supreme court decide the case miranda vs. arizona,1966,13,1,1.0
164,when was free movement in the eu introduced,1957,4,1,1.0
165,when did hand foot and mouth disease begin,1957,7,1,1.0
166,what was the significance of marbury vs madison,"established the principle of judicial review in the United States , meaning that American courts have the power to strike down laws , statutes , and executive actions that contravene the U.S. Constitution",4,1,1.0
167,how much money does tourism bring to nepal,$471 ma year,6,1,1.0
168,who had the worlds largest economy in 2014,the United States,21,1,1.0
169,what are three branches of government in the united states,judicial,15,1,1.0
170,what are three branches of government in the united states,legislative,7,1,1.0
171,what are three branches of government in the united states,executive,21,1,1.0
172,what does hhr stand for on a chevy,Heritage High Roof,8,1,1.0
173,who sings the song sorry that i let you down,NF,10,1,1.0
174,when was the first tower block built in england,1951,7,1,1.0
175,who wrote about the idyllic 'isle of innisfree',William Butler Yeats,10,1,0.5
176,who was sent to england to convert the pagan anglo-saxons,missionaries,5,1,1.0
177,which figure of speech uses words that imitate the sounds they refer to,Onomatopoeia,7,1,0.3333333333333333
178,when was athens made the capital of greece,1834,5,1,1.0
179,who played lady guinevere in night at the museum 3,Alice Eve,12,1,0.5
180,how many assist does ozil have in his career,25,22,1,1.0
181,monarch at the end of world war 2,George VI,11,0,0.0
182,how many countries can i visit with british passport,186 countries and territories,18,0,0.0
183,when is the big bang theory season 11 coming out,"Monday , September 25 , 2017",14,1,0.3333333333333333
184,who plays carl's grandmother on mike and molly,Cleo King,4,1,0.5
185,when does attack on titan episodes come out,July 2018,9,1,0.8333333333333333
186,who played hyde on the 70's show,Daniel Peter Masterson,20,0,0.0
187,when do we say that a solution is unsaturated,"a chemical compound that contains carbon - carbon double bonds or triple bonds , such as those found in alkenes or alkynes , respectively",6,1,0.5
188,who sang the song life in the fast lane,Eagles,12,1,1.0
189,what kind of bomb did the us drop on japan,nuclear weapons,25,1,1.0
190,who is the girl in far east movement like a g6,Dev,10,1,0.8333333333333333
191,who plays eric on once upon a time,Mark Gilbert McKinney,8,0,0.0
192,who plays eric on once upon a time,Supernatural,17,0,0.0
193,who is the actor that plays ron weasley,Rupert Alexander Lloyd Grint,9,0,0.0
194,who sang your mama don't dance and your daddy don't rock and roll,rock duo Loggins and Messina,6,1,1.0
195,who is known as the father of india cricketer,Buchi Babu Naidu,14,0,0.0
196,where is lactase found in the human body,in the brush border of the small intestine,4,1,1.0
197,when was the first step pyramid built in egypt,during the 27th century BC,9,0,0.0
198,when were the canterbury tales written and in what language,written in Middle English by Geoffrey Chaucer between 1387 and 1400,7,1,1.0
199,20th century english writer known for her feminist and magical works,Angela Olive Carter - Pearce,11,0,0.0
200,where will you find earth's magnetic north pole,86 ° 30 ′ N 172 ° 36 ′ W ﻿ / ﻿ 86.5 ° N 172.6 ° W,6,1,1.0
201,when does better call saul come out on netflix,"February 1 , 2016",8,1,1.0
202,what kind of chinese do they speak in beijing,Mandarin,7,1,1.0
203,what does pt stand for in the army,physical training,9,0,0.0
204,who played the role of snake eyes in gi joe,Raymond `` Ray '' Park,11,0,0.0
205,who sang lead vocals on sunshine of your love,Jack Bruce,19,1,1.0
206,when does the nba regular season start in 2017,"October 17 , 2017",5,1,1.0
207,who sang desert on a horse with no name,America,4,1,1.0
208,where did the missouri tigers get their name,from a band of armed guards called the Fighting Tigers of Columbia,21,1,1.0
209,who played spock's dad on star trek,Mark Lenard,7,0,0.0
210,who was defeated and killed in the fourth mysore war at srirangapatna,Tipu Sultan,11,1,1.0
211,who was the first indian who win world junior badminton championship,Nehwal,12,0,0.0
212,when was the national museum of natural history built,1910,9,1,0.8333333333333333
213,who is the lead singer for fall out boy,Patrick Stump,10,1,1.0
214,who died in the 16th street baptist church bombing,Cynthia Wesley,5,1,1.0
215,who died in the 16th street baptist church bombing,Addie Mae Collins,11,1,1.0
216,who died in the 16th street baptist church bombing,Carol Denise McNair,7,1,1.0
217,who died in the 16th street baptist church bombing,Carole Robertson,9,1,1.0
218,who sings i'm in love with a monster in hotel transylvania,Fifth Harmony,5,1,0.3333333333333333
219,what are the zombies called in the last of us,infected,5,1,1.0
220,when did the first go pro come out,2004,11,1,1.0
221,who were the pro football players in little giants,Steve Emtman,11,1,1.0
222,who were the pro football players in little giants,John Madden,8,1,1.0
223,who were the pro football players in little giants,Emmitt Smith,6,1,1.0
224,who were the pro football players in little giants,Bruce Smith,9,1,0.8333333333333333
225,who were the pro football players in little giants,Tim Brown,16,1,1.0
226,where do the testes develop in the embryo,from the mesothelial layer of the peritoneum,15,0,0.0
227,when was the first piece of jewelry made,"100,000 - year - old beads made from Nassarius shells",11,0,0.0
228,what is toner used for on the face,to cleanse the skin and shrink the appearance of pores,13,1,0.5
229,who was the original actor in walking tall,Joe Don Baker,10,1,1.0
230,the land of make believe hope new jersey,amusement park,10,1,1.0
231,how many chapters in ruth in the bible,four,5,1,0.8333333333333333
232,what are the 3 milks in tres leches cake,heavy cream,10,1,1.0
233,what are the 3 milks in tres leches cake,evaporated milk,3,1,1.0
234,what are the 3 milks in tres leches cake,condensed milk,3,1,1.0
235,where was the film that'll be the day filmed,Isle of Wight,12,0,0.0
236,how many animals died in the lake nyos tragedy,"3,500",8,1,1.0
237,who is the girl dancing with pitbull in timber,Raffaella Modugno,3,1,1.0
238,what do you mean by double entry system of accounting,every entry to an account requires a corresponding and opposite entry to a different account,8,1,1.0
239,who plays rafael barba on law and order,Raúl Eduardo Esparza,4,0,0.0
240,when was the lovesong of j alfred prufrock published,June 1915,4,1,1.0
241,where is the hallmark series good witch filmed,"Hamilton and Niagara on the Lake , Ontario",12,1,1.0
242,who was the original singer of personal jesus,Depeche Mode,6,1,1.0
243,who is the most followed user in instagram,Instagram 's own account,6,1,1.0
244,when was smoking in pubs banned in uk,1 July 2007,3,1,1.0
245,when do trains have to blow their horns,at all public grade crossings,7,1,1.0
246,what is the wilshire 5000 total market index,a market - capitalization - weighted index of the market value of all stocks actively traded in the United States,4,1,1.0
247,when was the women's first world cup held,1991,6,1,0.5833333333333333
248,who plays bell in beauty and the beast,Tony Award,8,1,0.8333333333333333
249,who plays bell in beauty and the beast,Susan Egan,12,1,0.8333333333333333
250,where is the college football national championship played this year,"Raymond James Stadium in Tampa , Florida",12,1,0.3333333333333333
251,what's the abv of pabst blue ribbon,4.6 %,5,1,1.0
252,when is the new season of wrecked coming out,"August 7 , 2018",6,0,0.0
253,where does the eye for an eye come from,Hebrew bible,9,1,1.0
254,who was prime minister when the queen was crowned,Winston Churchill,5,1,0.5
255,what is the maximum term a us president can serve,two four - year terms,10,1,0.5
256,when did china's 1 child policy end,near the end of 2015 and the beginning of 2016,11,1,1.0
257,where is the 11 foot 8 inch bridge,"Durham , North Carolina",8,1,1.0
258,who said to error is human to forgive divine,Alexander Pope,11,0,0.0
259,who sang make em laugh in singin in the rain,Donald O'Connor,9,1,1.0
260,mix red and green to make this colour,yellow,6,1,1.0
261,what is the old name of state bank of india,Imperial Bank of India,12,1,1.0
262,where does the largest halloween parade take place every year,New York,7,1,1.0
263,who sings on i ain't mad at cha,Danny Boy,4,1,1.0
264,when did women's cricket start in india,1973,6,0,0.0
265,why did the stamp act of 1765 happen,to pay for British military troops stationed in the American colonies after the French and Indian War,8,1,1.0
266,flu that spread over a large area in 1918,H1N1 influenza virus,4,1,1.0
267,how many kanals in one acre in pakistan,8,5,1,0.8333333333333333
268,what do you call a person who does acrobatics,acrobat,13,1,1.0
269,what is the name of the cat in tom and jerry,Tom,8,1,1.0
270,who killed katie in the movie mystic river,Dave,5,1,0.8333333333333333
271,what iron maiden album is the trooper on,Piece of Mind,4,1,1.0
272,who wrote the song knocking on heaven's door,Bob Dylan,10,0,0.0
273,where was the author when he wrote the star spangled banner,Fort McHenry,7,1,1.0
274,the reason japanese pagoda roofs decline in size is,the more solid and secure the pagoda seems to be,4,1,1.0
275,what does the acrosome do in a sperm cell,releases hyaluronidase and acrosin,4,1,1.0
276,what was joker's plan in the dark knight,to upset social order through crime,5,0,0.0
277,what is the name of arasamaram in english,sacred fig,5,0,0.0
278,what is the full form of als disease,Amyotrophic lateral sclerosis,5,0,0.0
279,who plays sons of anarchy president in mayans,Marcus Álvarez,8,1,0.5
280,how many seasons are there of knight rider,four,4,1,1.0
281,who the girl in somebody that i used to know,Kimbra,13,1,1.0
282,where did jaren jackson senior play college basketball,Georgetown University,8,1,1.0
283,when did the us first start using daylight savings time,1918,9,1,0.8333333333333333
284,role of a cto in an it company,an executive - level position in a company or other entity whose occupation is focused on scientific and technological issues within an organization,7,1,1.0
285,who are the consumers in a food chain,organisms that eat organisms from a different population,8,1,1.0
286,who were the two superpowers during the cold war space race,the United States,17,1,1.0
287,who were the two superpowers during the cold war space race,the Soviet Union ( USSR ),13,0,0.0
288,when did they add ain't to the dictionary,1961,6,1,1.0
289,where is the thalmus located in the brain,dorsal part of the diencephalon,11,0,0.0
290,just before texas became a us state in 1845 texas was,annexed to the United States of America,7,1,1.0
291,which is the last game of thrones book,A Song of Ice and Fire,4,1,1.0
292,who is the youngest elected president of usa,John F. Kennedy,6,1,0.5
293,who did rob lowe play in the stand,Nick Andros,8,1,1.0
294,local governments that provide a single service or a closely related set of services are,Special districts,8,0,0.0
295,a rift valley is evidence of which kind of plate boundary,a divergent plate boundary,4,1,0.8333333333333333
296,where was the merlot wine grape originally grown,thought to have originated on one of the islands found along the Garonne river,10,1,1.0
297,when is the station of the cross done,"most commonly during Lent , especially on Good Friday",3,1,1.0
298,which is older jeopardy or wheel of fortune,Jeopardy !,4,1,1.0
299,who translated the king james bible to english,"47 scholars , all of whom were members of the Church of England",5,0,0.0
300,who sang the song if it's meant to be,Florida Georgia Line,4,0,0.0
301,who sang the song if it's meant to be,Bebe Rexha,6,0,0.0
302,the area between the tigris and euphrates rivers,Mesopotamia,4,1,1.0
303,the most recent revision of the apa ethics code was published in,2010,6,1,1.0
304,where does an apple a day keeps the doctor away come from,"the proverb originated in Wales , and was particularly prevalent in Pembrokshire",10,1,1.0
305,the ability of an atom to attract electron towards itself is called,Electronegativity,15,0,0.0
306,who played the devil in storm of the century,Colm Feore,15,1,1.0
307,who won the most states in the 2016 presidential election,Trump,13,1,1.0
308,who starred in oh what a lovely war,Maurice Roëves,16,1,1.0
309,who starred in oh what a lovely war,Maggie Smith,13,1,1.0
310,who starred in oh what a lovely war,Dirk Bogarde,6,1,1.0
311,who starred in oh what a lovely war,John Gielgud,7,1,1.0
312,who starred in oh what a lovely war,John Mills,6,1,1.0
313,who starred in oh what a lovely war,Kenneth More,7,1,1.0
314,who starred in oh what a lovely war,Laurence Olivier,14,1,1.0
315,who starred in oh what a lovely war,Jack Hawkins,9,1,1.0
316,who starred in oh what a lovely war,Corin Redgrave,6,1,1.0
317,who starred in oh what a lovely war,Michael Redgrave,10,1,1.0
318,who starred in oh what a lovely war,Vanessa Redgrave,6,1,1.0
319,who starred in oh what a lovely war,Ralph Richardson,12,1,1.0
320,who starred in oh what a lovely war,Ian Holm,11,1,1.0
321,who starred in oh what a lovely war,Paul Shelley,9,1,1.0
322,who starred in oh what a lovely war,Malcolm McFee,8,1,1.0
323,who starred in oh what a lovely war,Jean - Pierre Cassel,8,1,1.0
324,who starred in oh what a lovely war,Nanette Newman,6,1,1.0
325,who starred in oh what a lovely war,Edward Fox,6,1,1.0
326,who starred in oh what a lovely war,Susannah York,6,1,1.0
327,who starred in oh what a lovely war,John Clements,6,1,1.0
328,who starred in oh what a lovely war,Phyllis Calvert,7,1,1.0
329,the location of the corpora cavernosa is the,( cavernous body of the penis ) is one of a pair of sponge - like regions of erectile tissue,3,1,1.0
330,who sings don't you forget about me from the breakfast club,Simple Minds,12,1,1.0
331,where is the rotator cuff located on the human body,shoulder joint,11,1,1.0
332,who played rolf in the sound of music,Daniel Lee Truhitte,6,0,0.0
333,when was when you say nothing at all written,1988,7,1,1.0
334,prison break season 5 how many episodes are there,9,15,1,1.0
335,shadow of the colossus creator's new game,The Last Guardian,3,0,0.0
336,the dot product of two vectors results in a,a vector,9,1,1.0
337,what channel is shortland street on in australia,Foxtel 's Arena,4,1,1.0
338,who played faramir in the lord of the rings,David Wenham,7,1,1.0
339,where is national open university located in abuja,Jabi,7,1,0.5
340,who wrote the song do you know where you're going to,Gerald Goffin,27,1,0.3333333333333333
341,who wrote the song do you know where you're going to,Michael Masser,13,1,0.3333333333333333
342,who played blair in the facts of life,Lisa Diane Whelchel,9,0,0.0
343,how many indian reservations are in the us,326 Indian reservations in the United States,8,1,1.0
344,commonly used as a preservative for tissue specimens,formaldehyde,7,1,1.0
345,which olsen twin was in full house more,Mary - Kate,5,1,1.0
346,why was virginia capital moved from williamsburg to richmond,Governor Thomas Jefferson urged it that the capital be relocated to Richmond,5,1,0.5
347,who wrote i hold on by dierks bentley,Bentley wrote the song with Brett James,4,1,0.5
348,when was journey to the center of the earth made,1864,13,1,1.0
349,who sang been through the desert on a horse with no name,the folk rock band America,6,1,1.0
350,where is big bang theory supposed to take place,"Pasadena , California",10,1,1.0
351,when did the us start using the electoral college,"1789 , the first Wednesday in February",8,1,0.5
352,where did the laurel yanni clip come from,"students who played the sound of the word `` laurel '' ( a laurel wreath ) , while re-recording the playback amid background noise in the room",5,1,1.0
353,oil painting has been the medium of choice for painter since,the late 15th century,9,1,1.0
354,who played cindy lou who in the grinch stole christmas,Taylor Michel Momsen,4,0,0.0
355,who played bass on barney miller theme song,Chuck Berghofer,6,1,1.0
356,which raja of chamba transferred the capital of his state from bharmaur to chamba,Raja Sahil Varman ( or Raja Sahil Verma ),8,1,1.0
357,where is the masterchef kitchen located in melbourne 2017,Flemington,11,1,1.0
358,what's the highest minimum wage in the united states,$11.00 per hour,6,1,1.0
359,when does between shades of gray take place,mid-20th century,9,1,1.0
360,how many parts does chronicles of narnia have,seven,6,1,1.0
361,where does funding for the military come from,tax revenues,6,0,0.0
362,who is the founder of alex and ani,Carolyn Rafaelian,3,1,1.0
363,who wrote between the devil and the deep blue sea,lyrics by Ted Koehler,9,1,0.3333333333333333
364,who wrote between the devil and the deep blue sea,music by Harold Arlen,5,1,0.3333333333333333
365,how many miles out is considered international waters,12 nautical miles,8,1,0.3333333333333333
366,what season does burke come back in grey's anatomy,in the tenth season,6,1,1.0
367,who sings this is the end of the innocence,Don Henley,3,1,1.0
368,where does the young and the restless film,"at CBS Television City , studios 41 and 43 in Hollywood",5,1,1.0
369,who sang on don't leave me this way,the Communards,10,1,0.5
370,who sang on don't leave me this way,Harold Melvin & the Blue Notes,7,1,0.5
371,who sang on don't leave me this way,Thelma Houston,5,1,0.5
372,star trek next generation episode picard falls in love,the 19th episode of the sixth season,5,1,0.5
373,what kind of currency is used in australia,The Australian dollar ( sign : $ ; code : AUD ),5,0,0.0
374,who plays william conway in house of cards,Charles Joel Nordström Kinnaman,5,0,0.0
375,who is the donor in power of attorney,The person authorizing the other to act,3,1,1.0
376,who played enos on the dukes of hazzard,"`` Sonny '' Shroyer , Jr.",4,0,0.0
377,who wrote the song scars to your beautiful,Alessia Cara,5,1,1.0
378,where was the first police laboratory established in the us,Los Angeles Police Department,18,0,0.0
379,how many championships does the pac 12 have,500,13,1,1.0
