,question,answer,query_duration,answer_present,average_precision
152,where does the calvin cycle (dark reactions) take place,in the stroma,5,1,1.0
153,what engine does call of duty run on,The IW engine,9,1,1.0
154,what is the point of the jury in australian survivor,"cast their vote for which finalist should be awarded the title of `` Sole Australian Survivor '' and the grand prize of A $ 500,000",3,1,1.0
155,when did the angels became the los angeles angels,1961,9,1,1.0
156,where is the guy who plays calvin on 227,Curtis Baldwin,4,1,1.0
157,who is the kid who played the banjo in deliverance,Billy Redden,10,0,0.0
158,who wrote what the hell did i say,country music artist Dierks Bentley,8,1,1.0
159,what is the song bad about by u2,heroin addiction,4,1,1.0
160,who is danae in the story of gorgon's head,mother of the hero Perseus by Zeus,3,0,0.0
161,who designed the sundial bridge in redding ca,Puente del Alamillo in Seville,3,1,1.0
162,what was the purpose of the national resources planning board,"to advise the President , in times of war , on how to mobilize natural resources , manpower , and the scientific establishment to meet the demands of the Department of Defense",4,1,1.0
163,when did the supreme court decide the case miranda vs. arizona,1966,5,1,1.0
164,when was free movement in the eu introduced,1957,7,1,1.0
165,when did hand foot and mouth disease begin,1957,4,1,1.0
166,what was the significance of marbury vs madison,"established the principle of judicial review in the United States , meaning that American courts have the power to strike down laws , statutes , and executive actions that contravene the U.S. Constitution",3,1,1.0
167,how much money does tourism bring to nepal,$471 ma year,5,1,1.0
168,who had the worlds largest economy in 2014,the United States,24,1,1.0
169,what are three branches of government in the united states,judicial,23,1,1.0
170,what are three branches of government in the united states,legislative,9,1,1.0
171,what are three branches of government in the united states,executive,14,1,1.0
172,what does hhr stand for on a chevy,Heritage High Roof,3,1,1.0
173,who sings the song sorry that i let you down,NF,10,1,1.0
174,when was the first tower block built in england,1951,10,1,1.0
175,who wrote about the idyllic 'isle of innisfree',William Butler Yeats,5,0,0.0
176,who was sent to england to convert the pagan anglo-saxons,missionaries,11,1,1.0
177,which figure of speech uses words that imitate the sounds they refer to,Onomatopoeia,5,0,0.0
178,when was athens made the capital of greece,1834,5,1,1.0
179,who played lady guinevere in night at the museum 3,Alice Eve,18,0,0.0
180,how many assist does ozil have in his career,25,13,1,1.0
181,monarch at the end of world war 2,George VI,7,0,0.0
182,how many countries can i visit with british passport,186 countries and territories,12,0,0.0
183,when is the big bang theory season 11 coming out,"Monday , September 25 , 2017",19,0,0.0
184,who plays carl's grandmother on mike and molly,Cleo King,9,0,0.0
185,when does attack on titan episodes come out,July 2018,11,1,1.0
186,who played hyde on the 70's show,Daniel Peter Masterson,9,0,0.0
187,when do we say that a solution is unsaturated,"a chemical compound that contains carbon - carbon double bonds or triple bonds , such as those found in alkenes or alkynes , respectively",15,0,0.0
188,who sang the song life in the fast lane,Eagles,4,1,1.0
189,what kind of bomb did the us drop on japan,nuclear weapons,10,1,1.0
190,who is the girl in far east movement like a g6,Dev,8,1,1.0
191,who plays eric on once upon a time,Mark Gilbert McKinney,15,0,0.0
192,who plays eric on once upon a time,Supernatural,6,0,0.0
193,who is the actor that plays ron weasley,Rupert Alexander Lloyd Grint,3,0,0.0
194,who sang your mama don't dance and your daddy don't rock and roll,rock duo Loggins and Messina,6,1,1.0
195,who is known as the father of india cricketer,Buchi Babu Naidu,11,0,0.0
196,where is lactase found in the human body,in the brush border of the small intestine,12,1,1.0
197,when was the first step pyramid built in egypt,during the 27th century BC,4,0,0.0
198,when were the canterbury tales written and in what language,written in Middle English by Geoffrey Chaucer between 1387 and 1400,9,1,1.0
199,20th century english writer known for her feminist and magical works,Angela Olive Carter - Pearce,7,0,0.0
200,where will you find earth's magnetic north pole,86 ° 30 ′ N 172 ° 36 ′ W ﻿ / ﻿ 86.5 ° N 172.6 ° W,8,1,1.0
201,when does better call saul come out on netflix,"February 1 , 2016",25,1,1.0
202,what kind of chinese do they speak in beijing,Mandarin,10,1,1.0
203,what does pt stand for in the army,physical training,3,0,0.0
204,who played the role of snake eyes in gi joe,Raymond `` Ray '' Park,6,0,0.0
205,who sang lead vocals on sunshine of your love,Jack Bruce,4,1,1.0
206,when does the nba regular season start in 2017,"October 17 , 2017",10,1,1.0
207,who sang desert on a horse with no name,America,6,1,1.0
208,where did the missouri tigers get their name,from a band of armed guards called the Fighting Tigers of Columbia,13,1,1.0
209,who played spock's dad on star trek,Mark Lenard,6,0,0.0
210,who was defeated and killed in the fourth mysore war at srirangapatna,Tipu Sultan,6,1,1.0
211,who was the first indian who win world junior badminton championship,Nehwal,11,0,0.0
212,when was the national museum of natural history built,1910,9,1,1.0
213,who is the lead singer for fall out boy,Patrick Stump,5,1,1.0
214,who died in the 16th street baptist church bombing,Cynthia Wesley,3,1,1.0
215,who died in the 16th street baptist church bombing,Addie Mae Collins,6,1,1.0
216,who died in the 16th street baptist church bombing,Carol Denise McNair,5,1,1.0
217,who died in the 16th street baptist church bombing,Carole Robertson,14,1,1.0
218,who sings i'm in love with a monster in hotel transylvania,Fifth Harmony,14,0,0.0
219,what are the zombies called in the last of us,infected,7,1,1.0
220,when did the first go pro come out,2004,18,1,1.0
221,who were the pro football players in little giants,Steve Emtman,5,1,1.0
222,who were the pro football players in little giants,John Madden,9,1,1.0
223,who were the pro football players in little giants,Emmitt Smith,7,1,1.0
224,who were the pro football players in little giants,Bruce Smith,4,1,1.0
225,who were the pro football players in little giants,Tim Brown,14,1,1.0
226,where do the testes develop in the embryo,from the mesothelial layer of the peritoneum,4,0,0.0
227,when was the first piece of jewelry made,"100,000 - year - old beads made from Nassarius shells",7,0,0.0
228,what is toner used for on the face,to cleanse the skin and shrink the appearance of pores,9,0,0.0
229,who was the original actor in walking tall,Joe Don Baker,5,1,1.0
230,the land of make believe hope new jersey,amusement park,12,1,1.0
231,how many chapters in ruth in the bible,four,4,1,1.0
232,what are the 3 milks in tres leches cake,heavy cream,7,1,1.0
233,what are the 3 milks in tres leches cake,evaporated milk,4,1,1.0
234,what are the 3 milks in tres leches cake,condensed milk,3,1,1.0
235,where was the film that'll be the day filmed,Isle of Wight,10,0,0.0
236,how many animals died in the lake nyos tragedy,"3,500",10,1,1.0
237,who is the girl dancing with pitbull in timber,Raffaella Modugno,9,1,1.0
238,what do you mean by double entry system of accounting,every entry to an account requires a corresponding and opposite entry to a different account,14,1,1.0
239,who plays rafael barba on law and order,Raúl Eduardo Esparza,8,0,0.0
240,when was the lovesong of j alfred prufrock published,June 1915,15,1,1.0
241,where is the hallmark series good witch filmed,"Hamilton and Niagara on the Lake , Ontario",9,1,1.0
242,who was the original singer of personal jesus,Depeche Mode,6,1,1.0
243,who is the most followed user in instagram,Instagram 's own account,5,1,1.0
244,when was smoking in pubs banned in uk,1 July 2007,8,1,1.0
245,when do trains have to blow their horns,at all public grade crossings,5,1,1.0
246,what is the wilshire 5000 total market index,a market - capitalization - weighted index of the market value of all stocks actively traded in the United States,23,1,1.0
247,when was the women's first world cup held,1991,6,0,0.0
248,who plays bell in beauty and the beast,Tony Award,3,1,1.0
249,who plays bell in beauty and the beast,Susan Egan,3,1,1.0
250,where is the college football national championship played this year,"Raymond James Stadium in Tampa , Florida",11,0,0.0
251,what's the abv of pabst blue ribbon,4.6 %,5,1,1.0
252,when is the new season of wrecked coming out,"August 7 , 2018",8,0,0.0
253,where does the eye for an eye come from,Hebrew bible,7,1,1.0
254,who was prime minister when the queen was crowned,Winston Churchill,6,0,0.0
255,what is the maximum term a us president can serve,two four - year terms,15,0,0.0
256,when did china's 1 child policy end,near the end of 2015 and the beginning of 2016,10,1,1.0
257,where is the 11 foot 8 inch bridge,"Durham , North Carolina",10,1,1.0
258,who said to error is human to forgive divine,Alexander Pope,5,0,0.0
259,who sang make em laugh in singin in the rain,Donald O'Connor,4,1,1.0
260,mix red and green to make this colour,yellow,7,1,1.0
261,what is the old name of state bank of india,Imperial Bank of India,12,1,1.0
262,where does the largest halloween parade take place every year,New York,7,1,1.0
263,who sings on i ain't mad at cha,Danny Boy,6,1,1.0
264,when did women's cricket start in india,1973,4,0,0.0
265,why did the stamp act of 1765 happen,to pay for British military troops stationed in the American colonies after the French and Indian War,7,1,1.0
266,flu that spread over a large area in 1918,H1N1 influenza virus,10,1,1.0
267,how many kanals in one acre in pakistan,8,4,1,1.0
268,what do you call a person who does acrobatics,acrobat,14,1,1.0
269,what is the name of the cat in tom and jerry,Tom,7,1,1.0
270,who killed katie in the movie mystic river,Dave,6,1,1.0
271,what iron maiden album is the trooper on,Piece of Mind,6,1,1.0
272,who wrote the song knocking on heaven's door,Bob Dylan,11,0,0.0
273,where was the author when he wrote the star spangled banner,Fort McHenry,11,1,1.0
274,the reason japanese pagoda roofs decline in size is,the more solid and secure the pagoda seems to be,10,1,1.0
275,what does the acrosome do in a sperm cell,releases hyaluronidase and acrosin,4,1,1.0
276,what was joker's plan in the dark knight,to upset social order through crime,5,0,0.0
277,what is the name of arasamaram in english,sacred fig,7,0,0.0
278,what is the full form of als disease,Amyotrophic lateral sclerosis,8,0,0.0
279,who plays sons of anarchy president in mayans,Marcus Álvarez,5,0,0.0
280,how many seasons are there of knight rider,four,7,1,1.0
281,who the girl in somebody that i used to know,Kimbra,9,1,1.0
282,where did jaren jackson senior play college basketball,Georgetown University,10,1,1.0
283,when did the us first start using daylight savings time,1918,11,1,1.0
284,role of a cto in an it company,an executive - level position in a company or other entity whose occupation is focused on scientific and technological issues within an organization,9,1,1.0
285,who are the consumers in a food chain,organisms that eat organisms from a different population,10,1,1.0
286,who were the two superpowers during the cold war space race,the United States,6,1,1.0
287,who were the two superpowers during the cold war space race,the Soviet Union ( USSR ),6,0,0.0
288,when did they add ain't to the dictionary,1961,8,1,1.0
289,where is the thalmus located in the brain,dorsal part of the diencephalon,3,0,0.0
290,just before texas became a us state in 1845 texas was,annexed to the United States of America,6,1,1.0
291,which is the last game of thrones book,A Song of Ice and Fire,6,1,1.0
292,who is the youngest elected president of usa,John F. Kennedy,4,0,0.0
293,who did rob lowe play in the stand,Nick Andros,9,1,1.0
294,local governments that provide a single service or a closely related set of services are,Special districts,15,0,0.0
295,a rift valley is evidence of which kind of plate boundary,a divergent plate boundary,12,1,1.0
296,where was the merlot wine grape originally grown,thought to have originated on one of the islands found along the Garonne river,6,1,1.0
297,when is the station of the cross done,"most commonly during Lent , especially on Good Friday",6,1,1.0
298,which is older jeopardy or wheel of fortune,Jeopardy !,5,1,1.0
299,who translated the king james bible to english,"47 scholars , all of whom were members of the Church of England",14,0,0.0
300,who sang the song if it's meant to be,Florida Georgia Line,9,0,0.0
301,who sang the song if it's meant to be,Bebe Rexha,7,0,0.0
302,the area between the tigris and euphrates rivers,Mesopotamia,13,1,1.0
303,the most recent revision of the apa ethics code was published in,2010,12,1,1.0
304,where does an apple a day keeps the doctor away come from,"the proverb originated in Wales , and was particularly prevalent in Pembrokshire",10,1,1.0
305,the ability of an atom to attract electron towards itself is called,Electronegativity,11,0,0.0
306,who played the devil in storm of the century,Colm Feore,10,1,1.0
307,who won the most states in the 2016 presidential election,Trump,14,1,1.0
308,who starred in oh what a lovely war,Maurice Roëves,13,1,1.0
309,who starred in oh what a lovely war,Maggie Smith,7,1,1.0
310,who starred in oh what a lovely war,Dirk Bogarde,7,1,1.0
311,who starred in oh what a lovely war,John Gielgud,5,1,1.0
312,who starred in oh what a lovely war,John Mills,5,1,1.0
313,who starred in oh what a lovely war,Kenneth More,9,1,1.0
314,who starred in oh what a lovely war,Laurence Olivier,5,1,1.0
315,who starred in oh what a lovely war,Jack Hawkins,18,1,1.0
316,who starred in oh what a lovely war,Corin Redgrave,4,1,1.0
317,who starred in oh what a lovely war,Michael Redgrave,19,1,1.0
318,who starred in oh what a lovely war,Vanessa Redgrave,8,1,1.0
319,who starred in oh what a lovely war,Ralph Richardson,11,1,1.0
320,who starred in oh what a lovely war,Ian Holm,13,1,1.0
321,who starred in oh what a lovely war,Paul Shelley,15,1,1.0
322,who starred in oh what a lovely war,Malcolm McFee,4,1,1.0
323,who starred in oh what a lovely war,Jean - Pierre Cassel,14,1,1.0
324,who starred in oh what a lovely war,Nanette Newman,7,1,1.0
325,who starred in oh what a lovely war,Edward Fox,14,1,1.0
326,who starred in oh what a lovely war,Susannah York,7,1,1.0
327,who starred in oh what a lovely war,John Clements,7,1,1.0
328,who starred in oh what a lovely war,Phyllis Calvert,7,1,1.0
329,the location of the corpora cavernosa is the,( cavernous body of the penis ) is one of a pair of sponge - like regions of erectile tissue,4,1,1.0
330,who sings don't you forget about me from the breakfast club,Simple Minds,16,1,1.0
331,where is the rotator cuff located on the human body,shoulder joint,7,1,1.0
332,who played rolf in the sound of music,Daniel Lee Truhitte,15,0,0.0
333,when was when you say nothing at all written,1988,9,1,1.0
334,prison break season 5 how many episodes are there,9,8,1,1.0
335,shadow of the colossus creator's new game,The Last Guardian,6,0,0.0
336,the dot product of two vectors results in a,a vector,3,1,1.0
337,what channel is shortland street on in australia,Foxtel 's Arena,4,1,1.0
338,who played faramir in the lord of the rings,David Wenham,5,1,1.0
339,where is national open university located in abuja,Jabi,7,0,0.0
340,who wrote the song do you know where you're going to,Gerald Goffin,8,0,0.0
341,who wrote the song do you know where you're going to,Michael Masser,18,0,0.0
342,who played blair in the facts of life,Lisa Diane Whelchel,9,0,0.0
343,how many indian reservations are in the us,326 Indian reservations in the United States,12,1,1.0
344,commonly used as a preservative for tissue specimens,formaldehyde,4,1,1.0
345,which olsen twin was in full house more,Mary - Kate,11,1,1.0
346,why was virginia capital moved from williamsburg to richmond,Governor Thomas Jefferson urged it that the capital be relocated to Richmond,15,0,0.0
347,who wrote i hold on by dierks bentley,Bentley wrote the song with Brett James,9,0,0.0
348,when was journey to the center of the earth made,1864,11,1,1.0
349,who sang been through the desert on a horse with no name,the folk rock band America,10,1,1.0
350,where is big bang theory supposed to take place,"Pasadena , California",7,1,1.0
351,when did the us start using the electoral college,"1789 , the first Wednesday in February",6,0,0.0
352,where did the laurel yanni clip come from,"students who played the sound of the word `` laurel '' ( a laurel wreath ) , while re-recording the playback amid background noise in the room",16,1,1.0
353,oil painting has been the medium of choice for painter since,the late 15th century,25,1,1.0
354,who played cindy lou who in the grinch stole christmas,Taylor Michel Momsen,4,0,0.0
355,who played bass on barney miller theme song,Chuck Berghofer,5,1,1.0
356,which raja of chamba transferred the capital of his state from bharmaur to chamba,Raja Sahil Varman ( or Raja Sahil Verma ),6,1,1.0
357,where is the masterchef kitchen located in melbourne 2017,Flemington,3,1,1.0
358,what's the highest minimum wage in the united states,$11.00 per hour,9,1,1.0
359,when does between shades of gray take place,mid-20th century,8,1,1.0
360,how many parts does chronicles of narnia have,seven,13,1,1.0
361,where does funding for the military come from,tax revenues,9,0,0.0
362,who is the founder of alex and ani,Carolyn Rafaelian,5,1,1.0
363,who wrote between the devil and the deep blue sea,lyrics by Ted Koehler,8,0,0.0
364,who wrote between the devil and the deep blue sea,music by Harold Arlen,5,0,0.0
365,how many miles out is considered international waters,12 nautical miles,10,0,0.0
366,what season does burke come back in grey's anatomy,in the tenth season,8,1,1.0
367,who sings this is the end of the innocence,Don Henley,4,1,1.0
368,where does the young and the restless film,"at CBS Television City , studios 41 and 43 in Hollywood",7,1,1.0
369,who sang on don't leave me this way,the Communards,8,0,0.0
370,who sang on don't leave me this way,Harold Melvin & the Blue Notes,7,0,0.0
371,who sang on don't leave me this way,Thelma Houston,9,0,0.0
372,star trek next generation episode picard falls in love,the 19th episode of the sixth season,8,0,0.0
373,what kind of currency is used in australia,The Australian dollar ( sign : $ ; code : AUD ),7,0,0.0
374,who plays william conway in house of cards,Charles Joel Nordström Kinnaman,15,0,0.0
375,who is the donor in power of attorney,The person authorizing the other to act,7,1,1.0
376,who played enos on the dukes of hazzard,"`` Sonny '' Shroyer , Jr.",4,0,0.0
377,who wrote the song scars to your beautiful,Alessia Cara,4,1,1.0
378,where was the first police laboratory established in the us,Los Angeles Police Department,15,0,0.0
379,how many championships does the pac 12 have,500,7,1,1.0
380,when does the indian budget come into effect,April 1,13,0,0.0
381,when did dont look back in anger come out,19 February 1996,13,0,0.0
382,who appoints the chairman of the federal reserve,President of the United States,7,1,1.0
383,where is palm beach florida located on the map,"Palm Beach County , Florida , United States",10,1,1.0
384,where did the name quarter horse come from,its ability to outdistance other horse breeds in races of a quarter mile or less,10,1,1.0
